,Manufacturer,Console,Release,Units sold,Date of figure,Generation
0,Nintendo,DS,"March 11, 2005","5,700,000[79]",Early 2012,4
1,Sony,PlayStation 2,"November 24, 2000","5,000,000[80]",Early 2009,4
2,Sony,PlayStation 4 #,"November 22, 2013","3,300,000[81]",December 2019,4
3,Sony,PlayStation,"September 29, 1995",">3,000,000[82]",July 2005,4
4,Nintendo,Switch #,"March 3, 2017","3,000,000[83]",December 2023,4
5,Sony,PlayStation 3,"March 23, 2007","2,980,000[57]",June 2015,4
6,Nintendo,Wii,"December 8, 2006","2,700,000[84]",2010,4
7,Nintendo,Game Boy,January 1991[85],"2,300,000[86]",Late 1998/Early 1999,4
8,Sony,PlayStation Portable,"September 1, 2005","2,100,000[87]",2008,4
9,Nintendo,Nintendo 3DS,"March 25, 2011","2,000,000[88]",Early 2018,4
10,Nintendo,Game Boy Advance,"June 22, 2001","1,600,000[89]",2004,4
11,Microsoft,Xbox 360,"December 2, 2005","1,290,000[57]",June 2015,4
12,Sony,PlayStation 5 #,"November 19, 2020","1,126,000[90]",December 2023,4
13,Sega,Mega Drive,September 1990,"<700,000[91]",1994,4
14,Nintendo,SNES,"June 1, 1992[63]","630,000[63]",1998,4
15,Sony,PlayStation Vita,"February 22, 2012","600,000[92]",Mid 2015,4
16,Sega,Master System,1987[93],"550,000[17]",1993,4
17,Nintendo,NES,1988[94],"440,000[17]",1993,4
18,Microsoft,Xbox Series #,"November 10, 2020","310,000[90]",December 2023,4
19,Microsoft,Xbox One,"November 22, 2013","305,000[95]~500,000[96]",2017,4
20,Nintendo,GameCube,"May 3, 2002","<300,000[97]",2006,4
21,Sega,Dreamcast,"October 14, 1999","200,000[98]",Early 2001,4
22,Sega,Game Gear,1991,"175,000[99]",1992,4
23,Sega,Saturn,"July 7, 1995[100]","70,000[101]",Early 1997,4
24,Sega,Mega CD,1993,"30,000[17]",1994,4
